,0
0,1213
1,843
2,1230
3,776
4,396
5,808
6,135
7,720
8,1078
9,878
10,1002
11,506
12,604
13,761
14,620
15,322
16,225
17,817
18,893
19,63
20,911
21,82
22,260
23,735
24,706
25,1232
26,66
27,808
28,369
29,1132
30,807
31,2
32,379
33,200
34,19
35,1003
36,737
37,892
38,391
39,534
40,97
41,297
42,1292
43,1290
44,583
45,18
46,553
47,307
48,634
49,728
50,185
51,704
52,6
53,421
54,151
55,1016
56,396
57,235
58,863
59,1195
60,115
61,1325
62,949
63,581
64,1191
65,532
66,252
67,307
68,838
69,125
70,759
71,573
72,1035
73,1124
74,1047
75,73
76,994
77,392
78,764
79,893
80,442
81,575
82,64
83,97
84,1018
85,721
86,493
87,124
88,869
89,176
90,91
91,154
92,1298
93,890
94,1246
95,1198
96,280
97,732
98,423
99,1259
100,539
101,984
102,304
103,820
104,304
105,950
106,607
107,531
108,596
109,155
110,265
111,514
112,419
113,992
114,19
115,590
116,79
117,7
118,50
119,266
120,268
121,1066
122,266
123,1039
124,466
125,508
126,803
127,1299
128,290
129,603
130,1031
131,623
132,537
133,1232
134,601
135,290
136,619
137,560
138,1265
139,339
140,876
141,6
142,753
143,865
144,971
145,403
146,516
147,1148
148,571
149,224
150,1261
151,653
152,1113
153,837
154,452
155,1109
156,545
157,850
158,738
159,259
160,1254
161,1080
162,17
163,365
164,1137
165,924
166,398
167,1105
168,746
169,880
170,1034
171,302
172,783
173,638
174,1007
175,1265
176,438
177,780
178,397
179,972
180,513
181,908
182,1197
183,879
184,218
185,57
186,820
187,279
188,1115
189,789
190,239
191,710
192,1250
193,33
194,1214
195,58
196,454
197,511
198,505
199,1276
200,534
201,443
202,469
203,169
204,678
205,369
206,1322
207,967
208,31
209,614
210,938
211,248
212,410
213,717
214,144
215,93
216,35
217,529
218,949
219,49
220,1330
221,122
222,41
223,686
224,988
225,562
226,365
227,1225
228,909
229,319
230,687
231,571
232,456
233,1032
234,1005
235,705
236,770
237,708
238,69
239,139
240,849
241,901
242,61
243,855
244,859
245,1275
246,777
247,1286
248,960
249,1179
250,454
251,393
252,1191
253,766
254,895
255,350
256,897
257,1122
258,661
259,17
260,14
261,641
262,1140
263,386
264,1111
265,937
266,1260
267,964
268,218
269,14
270,558
271,942
272,1302
273,672
274,298
275,384
276,1057
277,545
278,770
279,294
280,507
281,723
282,1143
283,821
284,513
285,865
286,634
287,20
288,424
289,918
290,195
291,770
292,693
293,793
294,840
295,1332
296,696
297,426
298,1081
299,279
300,850
301,1196
302,798
303,479
304,1301
305,1116
306,156
307,1242
308,558
309,354
310,1310
311,1095
312,134
313,978
314,256
315,738
316,291
317,1173
318,1303
319,1304
320,17
321,983
322,989
323,548
324,742
325,549
326,1288
327,471
328,918
329,256
330,1232
331,1321
332,248
333,87
334,709
335,111
336,107
337,1112
338,424
339,266
340,155
341,1279
342,1079
343,430
344,295
345,726
346,704
347,702
348,306
349,1164
350,503
351,239
352,133
353,277
354,1312
355,396
356,429
357,783
358,442
359,181
360,593
361,450
362,651
363,911
364,77
365,1017
366,859
367,268
368,354
369,159
370,1102
371,1085
372,1062
373,649
374,736
375,2
376,217
377,373
378,653
379,868
380,1171
381,772
382,21
383,559
384,1090
385,233
386,1011
387,1126
388,887
389,607
390,535
391,1042
392,465
393,1247
394,232
395,138
396,621
397,472
398,771
399,471
400,544
401,631
402,928
403,987
404,8
405,1189
406,644
407,325
408,478
409,860
410,1200
411,827
412,707
413,154
414,1265
415,679
416,262
417,249
418,680
419,1019
420,1008
421,1046
422,392
423,761
424,1302
425,1216
426,1143
427,960
428,425
429,556
430,727
431,1007
432,421
433,1210
434,831
435,147
436,366
437,147
438,3
439,622
440,80
441,415
442,998
443,364
444,824
445,376
446,230
447,1134
448,1229
449,1296
450,734
451,1110
452,1014
453,771
454,1212
455,823
456,594
457,276
458,1275
459,412
460,427
461,236
462,1274
463,1080
464,984
465,1108
466,422
467,1157
468,371
469,600
470,1088
471,794
472,1075
473,20
474,749
475,223
476,70
477,86
478,1188
479,801
480,130
481,862
482,801
483,405
484,539
485,227
486,550
487,661
488,1167
489,345
490,1063
491,215
492,801
493,291
494,347
495,914
496,669
497,1219
498,1297
499,948
500,708
501,709
502,1116
503,1028
504,993
505,32
506,680
507,561
508,664
509,388
510,402
511,588
512,751
513,231
514,554
515,830
516,1063
517,7
518,217
519,1231
520,1329
521,652
522,631
523,1337
524,1170
525,1179
526,680
527,438
528,788
529,599
530,207
531,398
532,228
533,886
534,104
535,693
536,354
537,479
538,684
539,145
540,360
541,113
542,278
543,1098
544,277
545,299
546,227
547,901
548,1255
549,1080
550,420
551,891
552,521
553,451
554,457
555,282
556,1316
557,640
558,590
559,1248
560,619
561,657
562,1027
563,1050
564,941
565,507
566,1230
567,1256
568,95
569,895
570,933
571,1143
572,984
573,1170
574,127
575,336
576,1113
577,667
578,986
579,877
580,1308
581,1111
582,887
583,1277
584,955
585,658
586,744
587,65
588,1029
589,347
590,610
591,603
592,445
593,1085
594,1209
595,194
596,1312
597,260
598,314
599,89
600,425
601,1126
602,632
603,666
604,711
605,561
606,1073
607,948
608,523
609,910
610,645
611,1254
612,442
613,508
614,749
615,667
616,915
617,1038
618,359
619,114
620,79
621,321
622,758
623,1150
624,399
625,1016
626,88
627,858
628,806
629,1168
630,896
631,985
632,610
633,122
634,1077
635,1196
636,1314
637,1215
638,902
639,1157
640,913
641,1152
642,933
643,1016
644,710
645,697
646,1177
647,589
648,1113
649,392
650,89
651,1014
652,719
653,337
654,204
655,1080
656,359
657,986
658,55
659,844
660,1093
661,1281
662,1251
663,427
664,1326
665,1184
666,1100
667,654
668,1029
669,1257
670,637
671,213
672,1219
673,544
674,478
675,372
676,976
677,848
678,721
679,461
680,358
681,1205
682,12
683,1300
684,1204
685,1280
686,495
687,1307
688,1132
689,1252
690,174
691,465
692,1249
693,482
694,738
695,489
696,655
697,869
698,242
699,1072
700,77
701,577
702,202
703,1240
704,439
705,946
706,1012
707,587
708,704
709,1256
710,1156
711,124
712,430
713,1225
714,614
715,136
716,1130
717,716
718,1034
719,379
720,161
721,851
722,1304
723,595
724,309
725,90
726,743
727,1253
728,1010
729,260
730,855
731,1197
732,1298
733,1185
734,865
735,967
736,641
737,738
738,1226
739,871
740,619
741,922
742,300
743,1171
744,453
745,1281
746,1046
747,417
748,534
749,727
750,1234
751,1280
752,1169
753,99
754,127
755,718
756,1051
757,934
758,1023
759,1270
760,383
761,435
762,1104
763,930
764,1222
765,634
766,1199
767,145
768,470
769,297
770,147
771,500
772,843
773,738
774,373
775,145
776,1093
777,1296
778,578
779,450
780,877
781,915
782,626
783,343
784,921
785,77
786,1140
787,58
788,1023
789,984
790,1105
791,947
792,1164
793,832
794,1035
795,1105
796,1074
797,200
798,917
799,191
800,768
801,745
802,195
803,554
804,1322
805,1099
806,122
807,836
808,193
809,958
810,64
811,62
812,466
813,436
814,683
815,780
816,366
817,1077
818,182
819,1057
820,145
821,1167
822,1129
823,772
824,659
825,55
826,567
827,378
828,1252
829,846
830,840
831,388
832,211
833,929
834,586
835,374
836,314
837,689
838,465
839,259
840,289
841,459
842,62
843,679
844,172
845,806
846,826
847,609
848,96
849,882
850,58
851,333
852,432
853,87
854,1048
855,1195
856,173
857,1085
858,774
859,182
860,155
861,691
862,329
863,421
864,66
865,766
866,843
867,545
868,300
869,213
870,514
871,753
872,936
873,939
874,98
875,1219
876,736
877,1079
878,1157
879,1219
880,314
881,1241
882,1311
883,350
884,1074
885,742
886,594
887,610
888,700
889,1
890,272
891,1174
892,274
893,214
894,88
895,90
896,326
897,1322
898,1070
899,1123
900,485
901,206
902,262
903,304
904,1091
905,1080
906,970
907,114
908,220
909,994
910,682
911,147
912,246
913,808
914,1334
915,834
916,1120
917,236
918,1102
919,1227
920,1018
921,1038
922,153
923,70
924,46
925,595
926,1233
927,1065
928,575
929,816
930,156
931,1275
932,49
933,772
934,641
935,539
936,1192
937,24
938,749
939,90
940,1206
941,914
942,864
943,729
944,486
945,1079
946,405
947,412
948,9
949,891
950,777
951,235
952,251
953,244
954,1308
955,476
956,1276
957,781
958,1098
959,1274
960,356
961,602
962,885
963,1177
964,809
965,514
966,421
967,1122
968,188
969,770
970,151
971,1031
972,657
973,820
974,76
975,198
976,977
977,574
978,664
979,542
980,699
981,369
982,1269
983,93
984,1011
985,471
986,468
987,1306
988,375
989,379
990,752
991,872
992,1048
993,222
994,465
995,43
996,1286
997,1175
998,1322
999,81
1000,736
1001,874
1002,989
1003,80
1004,1076
1005,936
1006,1054
1007,231
1008,1283
1009,553
1010,297
1011,167
1012,1269
1013,1049
1014,854
1015,239
1016,948
1017,223
1018,681
1019,1228
1020,966
1021,1230
1022,67
1023,957
1024,955
1025,1052
1026,1015
1027,569
1028,1035
1029,55
1030,838
1031,1004
1032,298
1033,425
1034,611
1035,960
1036,634
1037,408
1038,851
1039,955
1040,123
1041,897
1042,38
1043,1167
1044,254
1045,572
1046,1048
1047,603
1048,79
1049,1074
1050,242
1051,929
1052,1006
1053,450
1054,1064
1055,354
1056,968
1057,660
1058,1146
1059,1202
1060,47
1061,1016
1062,989
1063,135
1064,1318
1065,320
1066,501
1067,850
1068,722
1069,38
1070,612
1071,951
1072,1101
1073,761
1074,1237
1075,464
1076,345
1077,1121
1078,653
1079,130
1080,1109
1081,530
1082,189
1083,406
1084,1263
1085,516
1086,554
1087,276
1088,90
1089,1325
1090,503
1091,1065
1092,767
1093,1214
1094,12
1095,757
1096,1077
1097,929
1098,923
1099,157
1100,1163
1101,98
1102,1030
1103,607
1104,619
1105,750
1106,805
1107,915
1108,251
1109,883
1110,183
1111,1237
1112,915
1113,1164
1114,1147
1115,433
1116,962
1117,767
1118,1071
1119,789
1120,663
1121,1035
1122,631
1123,959
1124,895
1125,40
1126,494
1127,313
1128,148
1129,885
1130,849
1131,221
1132,662
1133,753
1134,996
1135,910
1136,479
1137,319
1138,1282
1139,310
1140,941
1141,430
1142,635
1143,1295
1144,31
1145,33
1146,675
1147,833
1148,948
1149,1118
1150,810
1151,24
1152,1312
1153,192
1154,526
1155,1198
1156,1202
1157,391
1158,222
1159,724
1160,642
1161,942
1162,747
1163,164
1164,123
1165,731
1166,218
1167,555
1168,556
1169,173
1170,634
1171,747
1172,890
1173,1083
1174,582
1175,1287
1176,827
1177,1224
1178,559
1179,962
1180,336
1181,982
1182,463
1183,1046
1184,702
1185,1083
1186,1206
1187,850
1188,1293
1189,1057
1190,149
1191,1068
1192,402
1193,1113
1194,572
1195,168
1196,284
1197,1129
1198,868
1199,155
1200,1129
1201,255
1202,757
1203,785
1204,11
1205,1300
1206,1295
1207,1065
1208,566
1209,1251
1210,370
1211,530
1212,1321
1213,1328
1214,1238
1215,21
1216,1002
1217,1304
1218,683
1219,398
1220,615
1221,317
1222,912
1223,1095
1224,729
1225,65
1226,555
1227,161
1228,812
1229,83
1230,557
1231,901
1232,208
1233,726
1234,1266
1235,837
1236,538
1237,904
1238,636
1239,217
1240,1230
1241,117
1242,1260
1243,722
1244,513
1245,840
1246,1075
1247,1331
1248,1074
1249,1031
1250,89
1251,1053
1252,987
1253,34
1254,708
1255,647
1256,494
1257,435
1258,1131
1259,570
1260,154
1261,1195
1262,336
1263,429
1264,604
1265,1069
1266,441
1267,964
1268,886
1269,940
1270,1051
1271,313
1272,584
1273,1168
1274,662
1275,1116
1276,392
1277,1183
1278,321
1279,431
1280,325
1281,439
1282,872
1283,142
1284,1126
1285,1298
1286,801
1287,1115
1288,781
1289,1239
1290,1328
1291,637
1292,300
1293,1323
1294,358
1295,666
1296,347
1297,243
1298,461
1299,441
1300,249
1301,278
1302,816
1303,1074
1304,128
1305,853
1306,142
1307,361
1308,961
1309,1285
1310,785
1311,998
1312,1304
1313,1281
1314,1279
1315,622
1316,981
1317,839
1318,1307
1319,1203
1320,911
1321,1223
1322,244
1323,1279
1324,190
1325,266
1326,412
1327,479
1328,676
1329,389
1330,639
1331,1061
1332,529
1333,176
1334,498
1335,576
1336,1117
1337,1297
1338,2
1339,409
1340,413
1341,592
1342,773
1343,998
1344,11
1345,846
1346,1103
1347,101
1348,40
1349,135
1350,322
1351,592
1352,595
1353,735
1354,593
1355,81
1356,846
1357,629
1358,889
1359,469
1360,614
1361,586
1362,1174
1363,633
1364,1121
1365,351
1366,225
1367,251
1368,462
1369,882
1370,1249
1371,1326
1372,192
1373,316
1374,620
1375,133
1376,106
1377,359
1378,669
1379,492
1380,714
1381,649
1382,1325
1383,645
1384,419
1385,320
1386,529
1387,755
1388,1285
1389,999
1390,936
1391,93
1392,1312
1393,333
1394,1200
1395,1083
1396,836
1397,36
1398,8
1399,310
1400,765
1401,728
1402,292
1403,1248
1404,1158
1405,810
1406,685
1407,10
1408,1000
1409,312
1410,731
1411,830
1412,232
1413,227
1414,593
1415,68
1416,698
1417,1045
1418,119
1419,1068
1420,622
1421,436
1422,1075
1423,255
1424,586
1425,734
1426,338
1427,1127
1428,1175
1429,954
1430,491
1431,88
1432,1027
1433,794
1434,1030
1435,1073
1436,336
1437,166
1438,902
1439,40
1440,908
1441,1044
1442,137
1443,871
1444,1062
1445,895
1446,1308
1447,696
1448,958
1449,648
1450,166
1451,691
1452,665
1453,682
1454,1261
1455,1164
1456,11
1457,1013
1458,163
1459,1194
1460,916
1461,29
1462,659
1463,731
1464,1219
1465,999
1466,997
1467,1213
1468,1086
1469,306
1470,1179
1471,517
1472,1290
1473,264
1474,151
1475,1042
1476,90
1477,121
1478,628
1479,1228
1480,32
1481,1026
1482,50
1483,76
1484,1121
1485,723
1486,1178
1487,647
1488,1176
1489,986
1490,1021
1491,1063
1492,402
1493,1199
1494,340
1495,436
1496,644
1497,1117
1498,497
1499,873
1500,784
1501,1224
1502,1152
1503,1108
1504,1068
1505,598
1506,604
1507,67
1508,820
1509,1317
1510,329
1511,1124
1512,555
1513,311
1514,744
1515,849
1516,42
1517,123
1518,872
1519,722
1520,62
1521,1271
1522,147
1523,1288
1524,99
1525,590
1526,713
1527,1251
1528,217
1529,1204
1530,1315
1531,876
1532,495
1533,49
1534,1096
1535,1178
1536,148
1537,824
1538,894
1539,236
1540,295
1541,218
1542,889
1543,976
1544,1134
1545,583
1546,1135
1547,1084
1548,768
1549,341
1550,920
1551,1149
1552,209
1553,232
1554,843
1555,1101
1556,1120
1557,631
1558,1059
1559,655
1560,665
1561,457
1562,228
1563,1190
1564,1186
1565,492
1566,788
1567,707
1568,267
1569,1182
1570,882
1571,125
1572,975
1573,332
1574,65
1575,32
1576,345
1577,1061
1578,1067
1579,224
1580,601
1581,573
1582,711
1583,183
1584,256
1585,1207
1586,847
1587,1073
1588,795
1589,1009
1590,116
1591,869
1592,358
1593,1102
1594,920
1595,487
1596,808
1597,260
1598,800
1599,814
1600,1137
1601,457
1602,859
1603,849
1604,1147
1605,700
1606,277
1607,381
1608,147
1609,88
1610,1186
1611,1088
1612,132
1613,898
1614,468
1615,1283
1616,1143
1617,1215
1618,186
1619,903
1620,67
1621,186
1622,271
1623,812
1624,485
1625,914
1626,569
1627,1318
1628,1290
1629,908
1630,1004
1631,837
1632,659
1633,428
1634,702
1635,850
1636,375
1637,1026
1638,521
1639,861
1640,128
1641,317
1642,1088
1643,1108
1644,1072
1645,261
1646,1244
1647,996
1648,1174
1649,286
1650,514
1651,651
1652,446
1653,350
1654,21
1655,345
1656,253
1657,553
1658,1227
1659,586
1660,145
1661,711
1662,474
1663,233
1664,805
1665,570
1666,1222
1667,1008
1668,77
1669,255
1670,612
1671,641
1672,749
1673,744
1674,589
1675,1322
1676,527
1677,911
1678,1267
1679,1001
1680,766
1681,1062
1682,1135
1683,1313
1684,892
1685,891
1686,1003
1687,791
1688,1115
1689,316
1690,653
1691,1034
1692,1236
1693,973
1694,1238
1695,1128
1696,1098
1697,216
1698,481
1699,573
1700,266
1701,531
1702,861
1703,1191
1704,1326
1705,902
1706,80
1707,151
1708,560
1709,568
1710,948
1711,752
1712,805
1713,50
1714,962
1715,224
1716,834
1717,487
1718,415
1719,158
1720,723
1721,1240
1722,914
1723,511
1724,52
1725,398
1726,87
1727,207
1728,257
1729,168
1730,150
1731,1023
1732,576
1733,763
1734,550
1735,309
1736,1047
1737,354
1738,816
1739,498
1740,1015
1741,1054
1742,1127
1743,607
1744,1286
1745,210
1746,459
1747,453
1748,401
1749,1096
1750,452
1751,748
1752,405
1753,615
1754,904
1755,1281
1756,760
1757,711
1758,940
1759,664
1760,80
1761,1231
1762,844
1763,478
1764,831
1765,1016
1766,463
1767,285
1768,972
1769,117
1770,831
1771,1101
1772,593
1773,771
1774,267
1775,895
1776,784
1777,508
1778,156
1779,10
1780,772
1781,498
1782,538
1783,780
1784,1163
1785,169
1786,809
1787,530
1788,167
1789,88
1790,580
1791,20
1792,1255
1793,1336
1794,460
1795,551
1796,727
1797,853
1798,1234
1799,1220
1800,904
1801,945
1802,567
1803,44
1804,995
1805,1024
1806,402
1807,1002
1808,535
1809,1306
1810,1171
1811,1027
1812,22
1813,219
1814,481
1815,767
1816,835
1817,1100
1818,22
1819,642
1820,194
1821,275
1822,389
1823,471
1824,521
1825,1062
1826,237
1827,880
1828,271
1829,613
1830,610
1831,370
1832,1004
1833,578
1834,694
1835,233
1836,795
1837,81
1838,1197
1839,276
1840,1116
1841,1304
1842,1019
1843,228
1844,902
1845,93
1846,1026
1847,648
1848,504
1849,44
1850,215
1851,589
1852,135
1853,160
1854,647
1855,1267
1856,826
1857,740
1858,198
1859,329
1860,1247
1861,456
1862,241
1863,895
1864,757
1865,323
